row_id,theme,sentiment_word,sentiment_anls
124,辞书;,热;,1;
125,价格;,小;,-1;
126,味道;,不错;,1;
127,线;,短;,-1;
128,,,
129,,,
130,中国;答案;总体;,最大;难;好;,1;-1;1;
131,价位;写字;美观;,矮;清新;方便;,-1;1;1;
132,,,
133,整体;,好;,1;
134,,,
135,买单;,严重;,-1;
136,膏体;味道;,细腻;清新;,1;1;
137,东西;,不错;,1;
138,外观;,坏;,-1;
139,狗屁;联系;管子;东西;,完全;最细;少;粗;,1;1;1;-1;
140,产品;豆皮;,咸;硬;,1;-1;
141,,,
142,价钱;总体;,好;好;,1;1;
143,,,
144,德语;教学;,清晰;好;,1;1;
145,化妆品;,好;,1;
146,,,
147,个人;,严重;,-1;
148,物流;服务态度;有点;,快;不错;不错;,1;1;1;
149,故事情节;,简单;,-1;
150,枕头;宣传;味道;,明显;严重;很大;,1;-1;1;
151,,,
152,亚马逊;圣罗兰;普通;,淡;一般;惊艳;,-1;0;1;
153,被子;保暖性;,轻软;好;,1;1;
154,脸;感觉;,光滑;干净;,1;1;
155,手感;水口;,干净;纯粹;,1;1;
156,,,
157,正品;,差;,-1;
158,效果;,好;,1;
159,书;,一般;,0;
160,,,
161,味道;线香;,不错;粗细;,1;1;
162,业余;历史;万历;作品;阶段;观点;方面;,大;丰富;好;有限;好;完全;少;,-1;1;1;-1;1;1;1;
163,猫咪;,好;,1;
164,牌子;卡有;,容易;很强;,1;1;
165,,,
166,,,
167,枕芯;感觉;,不错;好;,1;1;
168,有点;,完全;,1;
169,,,
170,,,
171,,,
172,,,
173,产品质量;价格;,好;愉快;,1;1;
174,手感;毛;,一般;谨慎;,0;1;
175,款式;号码;手机;,方便;频繁;重新;,1;-1;1;
176,,,
177,问题;,贵;,-1;
178,,,
179,亚马逊;,安全;,1;
180,普通;迪;,好;最;,1;1;
181,,,
182,,,
183,气味;狗;,一般;好;,0;1;
184,,,
185,商品;音质;,小;差;,-1;-1;
186,Juste;,不同;,1;
187,,,
188,设计;,高;,1;
189,,,
190,,,
191,发货;价格便宜;,完好;不错;,1;1;
192,同;,薄;,-1;
193,,,
194,工具;,高;,1;
195,纸卷;,容易;,1;
196,个人;,容易;,1;
197,评论;,简陋;,-1;
198,不值;毛笔;,根本;贵;,1;-1;
199,Transcend;佳能;存储卡;指标;速度;,稳定;便宜;重要;蒙蔽;快;,1;1;1;1;1;
200,,,
201,总体;物流;个人;充电电池;,小;确实;最大;好;,-1;1;1;1;
202,眼镜片;,脆弱;,-1;
203,时候;,干净;,1;
204,,,
205,英词;,高;,1;
206,太太;,薄;,-1;
207,,,
208,,,
209,物流;关;奶瓶;,不错;易;湿;,1;1;1;
210,,,
211,味道;,好;,1;
212,感觉;,舒服;,1;
213,去垢;,纯;,1;
214,材质;质量;,厚重;不错;,1;1;
215,效果;,明显;,1;
216,时间;,均匀;,1;
217,太贵;,好;,1;
218,效果;老公;,一般;小;,0;-1;
219,封面;,完全;,1;
220,评论;岳麓书社;,小;好;,-1;1;
221,,,
222,,,
223,,,
224,,,
225,纸张;,好;,1;
226,变焦;,一般;,0;
227,,,
228,巨无霸;,清新;,1;
229,产品;价格;,不错;安全;,1;1;
230,,,
231,白头;,惊艳;,1;
232,,,
233,,,
234,效果;,一般;,0;
235,,,
236,质量;,不错;,1;
237,颜色;,好;,1;
238,感觉;移位;手;,长;舒服;暖和;,1;1;1;
239,感觉;效果;,明显;很酸;,1;1;
240,产品;,快;,1;
241,,,
242,,,
243,感觉;,好;,1;
244,内容;精华;,少;少;,1;1;
245,原装;感觉;品牌;,差;小;确实;,-1;-1;1;
246,湿纸巾;状态;,全;困难;,1;-1;
247,女儿;频率;,强烈;高;,1;1;
248,东西;,大;,-1;
249,牙膏;,便宜;,1;
250,金正;,好;,1;
251,东西;,不错;,1;
252,书;,重要;,1;
253,,,
254,纯棉;,好;,1;
255,感觉;皇家;,准确;好;,1;1;
256,,,
257,,,
258,味道;,好;,1;
259,,,
260,,,
261,质量;,不错;,1;
262,东西;会员;人;,大;贵;舒服;,-1;-1;1;
263,,,
264,太小;,少;,1;
265,整盒;,舒服;,1;
266,宝宝;,大;,-1;
267,,,
268,,,
269,,,
270,颜色;亚马逊;价钱;慎重考虑;,贵;不同;不同;远;,-1;1;1;1;
271,泡泡;,好;,1;
272,感觉;,好;,1;
273,bb;暴;,确实;小;,1;-1;
274,花艺;举例;,全;少;,1;1;
275,拖地;,干净;,1;
276,,,
277,韵;发货;退换货;,好;大;麻烦;,1;-1;-1;
278,质量;,好;,1;
279,,,
280,,,
281,,,
282,,,
283,星;狗;味道;恶心;,红;黏;久;完全;,1;1;0;1;
284,,,
285,,,
286,译文;,很小;,1;
287,,,
288,质量;袖子;起码;,一般;一般;长;,0;0;1;
289,无谷;断货;肉类;,容易;常见;便宜;,1;1;1;
290,,,
291,东西;无线网;,不错;强;,1;-1;
292,气味;甲醛;,很大;根本;,1;1;
293,正文;,好;,1;
294,,,
295,信号;,稳定;,1;
296,,,
297,性价比;质量;,高;不错;,1;1;
298,,,
299,,,
300,外观;,不爽;,-1;
301,亚马逊;,完整;,1;
302,东西;,不错;,1;
303,瓶子;,大;,-1;
304,东西;测量;宝宝;,不错;方便;长;,1;1;1;
305,东西;,舒服;,1;
306,,,
307,,,
308,,,
309,,,
310,,,
311,发货;,快;,1;
312,,,
313,缝线;,被套;,1;
314,关键;智慧;,最大;激动;,1;1;
315,货;,很小;,1;
316,,,
317,,,
318,,,
319,洁面乳;,一般;,0;
320,质感;XL;,好;合适;,1;1;
321,,,
322,,,
323,,,
324,,,
325,水杯;样子;,不错;漂亮;,1;1;
326,厚嘴唇;人;礼品;,大;小;清新;,-1;-1;1;
327,小标题;例子;书;,小;干净;不错;,-1;1;1;
328,,,
329,小主;,兴趣不大;,1;
330,速度;,完整;,1;
331,waterpik;碧;电机;,洁;大;容易;,1;-1;1;
332,枕头;有点;,好;硬;,1;-1;
333,,,
334,,,
335,,,
336,评;感觉;,脏;均匀;,-1;1;
337,电话;,方便;,1;
338,,,
339,发货;质量;,快;不错;,1;1;
340,脚丫;蓝色;胖;,舒适;不显;宽松;,1;1;1;
341,,,
342,,,
343,磁盘;,坏;,-1;
344,评论;效果;,好;有害;,1;-1;
345,卖家;,很累;,1;
346,镜框;,差;,-1;
347,洞口;,固定;,1;
348,,,
349,假货;牛奶;,好;假;,1;-1;
350,,,
351,,,
352,水杯;,不错;,1;
353,巧克力;,根本;,1;
354,书籍;书;地摊;,高;好;很棒;,1;1;1;
355,质量;,好;,1;
356,塑料;,好;,1;
357,东西;,硬;,-1;
358,,,
359,,,
360,,,
361,耳塞;,好;,1;
362,方面;保温;办法;外壳;暖手;普通;水壶;中国;,不错;差;靓丽;温暖;温暖;冷;好;坏;,1;-1;1;1;1;-1;1;-1;
363,,,
364,,,
365,盒子;,碎;,-1;
366,,,
367,,,
368,正品;,轻巧;,1;
369,,,
370,,,
371,宝;,黑;,-1;
372,,,
373,,,
374,作者;,平淡;,-1;
375,香味;,不错;,1;
376,,,
377,,,
378,,,
379,头皮;,痛;,-1;
380,,,
381,,,
382,,,
383,原本;菜名;,方便;方便;,1;1;
384,,,
385,鱼;鱼鱼;,好;好;,1;1;
386,,,
387,,,
388,色彩;色;基本;,好;淡;高;,1;-1;1;
389,,,
390,,,
391,下单;,旧;,-1;
392,功效;小狗;,明显;大;,1;-1;
393,黑天;,贵;,-1;
394,,,
395,数码城;声音;,清晰;不错;,1;1;
396,小朋友;建议;,轻;高;,-1;1;
397,密度;,很小;,1;
398,评论;,不错;,1;
399,,,
400,,,
401,香味;,持久;,1;
402,手动;,挺好用;,1;
403,书;,好;,1;
404,细小;,差;,-1;
405,剃须;,好;,1;
406,媳妇;,不错;,1;
407,毛巾;,薄;,-1;
408,气味;,大;,-1;
409,个人感觉;,一般;,0;
410,室友;,不;,1;
411,,,
412,牙刷;块钱;刷毛;,不;硬;确实;,1;-1;1;
413,侄子;亲自动手;积木;,固定;明显;乐高;,1;1;1;
414,遗传;,不;,1;
415,,,
416,,,
417,狗狗;,最爱;,1;
418,语意;,耐心;,1;
419,,,
420,书;,费劲;,-1;
421,连;,差;,-1;
422,大箱子;过程;学习桌;,大;很棒;很高;,-1;1;1;
423,习惯;,好;,1;
424,箱子;声音;蟑螂;,根本;很大;差;,1;1;-1;
425,时;,很大;,1;
426,古诗词;,大;,-1;
427,发货;,锋利;,1;
428,货品;玻璃瓶;好象;瓶;,简单;根本;不错;旧;,-1;1;1;-1;
429,,,
430,,,
431,信号;,好;,1;
432,,,
433,家用;奶泡;杯子;杆子;,方便;长;大;长;,1;1;-1;1;
434,专柜;钱;,便宜;意外;,1;1;
435,,,
436,,,
437,感觉;,好;,1;
438,颜色;,好;,1;
439,实物;,完全;,1;
440,,,
441,价格;图片;,便宜;粗糙;,1;-1;
442,,,
443,质量;性价比;,好;高;,1;1;
444,秒杀;,很好;,1;
445,质量;,假;,-1;
446,,,
447,产品;外观;,紧;不错;,-1;1;
448,价格;质量;,贵;不错;,-1;1;
449,,,
450,感觉;,长;,1;
451,镜框;,大;,-1;
452,气味;皮肤;,不错;很重;,1;-1;
453,书;,好;,1;
454,中国;,有见;,1;
455,时候;,挺好用;,1;
456,,,
457,划痕;太坑;,旧;大;,-1;-1;
458,,,
459,,,
460,,,
461,,,
462,一分钱;,小;,-1;
463,牙龈;,痛;,-1;
464,化妆品;产品;中国;,幸好;大;纯;,1;-1;1;
465,条件;,爽滑;,1;
466,发货;质量;,快;全;,1;1;
467,,,
468,尺码;建议;,偏;小;,-1;-1;
469,效果;,粗心;,-1;
470,感觉;牙刷;牙齿;时间;发货;,大;不错;干净;太慢;耐心;,-1;1;1;-1;1;
471,,,
472,色;刷子;,不错;硬;,1;-1;
473,,,
474,习惯;声音;,精致;一般;,1;0;
475,,,
476,,,
477,,,
478,液体钙;软胶囊;,善安;假;,1;-1;
479,,,
480,,,
481,玻璃;,粗糙;,-1;
482,,,
483,,,
484,,,
485,拖鞋;质量;,不错;好;,1;1;
486,纸;,厚;,1;
487,,,
488,毛;,柔软;,1;
489,复古;外表;中文;,不错;单薄;好;,1;-1;1;
490,亚马逊;,轻巧;,1;
491,女儿;,不错;,1;
492,,,
493,习题;,难;,-1;
494,,,
495,纸质;,一般;,0;
496,糖果;,细腻;,1;
497,感觉;,不错;,1;
498,,,
499,,,
500,热水;,方便;,1;
501,,,
502,笔;降价;,根本;最心;,1;1;
503,低端;,仔细;,1;
504,材质;,不错;,1;
505,,,
506,基本;,很厚;,1;
507,时水;,黑;,-1;
508,不值;,早;,1;
509,大号;,合适;,1;
510,差;塑料;,黄;差;,1;-1;
511,,,
512,布料;,小;,-1;
513,产品;,清楚;,1;
514,,,
515,,,
516,,,
517,体验;三联;胶;,差;全;糟糕;,-1;1;-1;
518,音质;,好;,1;
519,效果;,不错;,1;
520,真魅;olay;,不错;容易;,1;1;
521,蓝色;,正好;,1;
522,性价比;,柔暖;,1;
523,发货;质量;,快;不错;,1;1;
524,,,
525,,,
526,,,
527,橡胶;有点;,明显;高;,1;1;
528,路由器;,稳定;,1;
529,,,
530,,,
531,,,
532,质量;性价比;,好;高;,1;1;
533,隔音;耳塞;,舒服;硬;,1;-1;
534,,,
535,大人;,方便;,1;
536,商品;,不错;,1;
537,鱼食;,大;,-1;
538,,,
539,,,
540,,,
541,,,
542,质量;,好;,1;
543,,,
544,感觉;,甜;,1;
545,阳光;,好;,1;
546,家庭;客服;,麻烦;差;,-1;-1;
547,味道;,浓郁;,1;
548,秒杀;品牌;物流;,配同;被套;快;,1;1;1;
549,,,
550,泡沫塑料;,很贵;,-1;
551,货后;缝隙;插脚;力;,很大;重要;顺利;差;,1;1;1;-1;
552,书;,好;,1;
553,味道;效果;,不错;不错;,1;1;
554,毛巾;,便宜;,1;
555,,,
556,感觉;价格便宜;,白;清洁;,-1;1;
557,,,
558,褶皱;,方便;,1;
559,鞋子;,舒服;,1;
560,习惯性;浪费;样子;效果;,小;新;稀;一般;,-1;1;1;0;
561,咖啡机;价钱;,好;贵;,1;-1;
562,,,
563,风扇;下单;档;方向性;,凑单;不错;不小;好;,1;1;1;1;
564,,,
565,,,
566,,,
567,电量;功能;手机;fitbit;,差;难;准确;差;,-1;-1;1;-1;
568,孩子;,一般;,0;
569,牙;,方便;,1;
570,划痕;,严重;,-1;
571,温度;数字;,坏;全;,-1;1;
572,感觉;,不错;,1;
573,感觉;,不错;,1;
574,,,
575,霜;效果;脸;小心;,蛮好;白;好;好;,1;-1;1;1;
576,杯子;套子;,不错;容易;,1;1;
577,,,
578,感觉;养眼;,模特;贵;,1;-1;
579,,,
580,味道;,很大;,1;
581,靴子;,差;,-1;
582,,,
583,东西;,不错;,1;
584,,,
585,,,
586,牙膏;,挺好用;,1;
587,东西;,不错;,1;
588,感觉;,一般;,0;
589,书本;,挺细;,1;
590,,,
591,试用;,长;,1;
592,梳子;,清理;,1;
593,初学者;收货;,坏;方便;,-1;1;
594,,,
595,味道;,一般;,0;
596,东北;索性;线;铜;耳机;,容易;新;直接;新;好;,1;1;1;1;1;
597,,,
598,形象;,小;,-1;
599,评论;密封性;价格比;,不错;不错;便宜;,1;1;1;
600,,,
601,彩妆;保养品;异味;重点;,好;小;薄;便宜;,1;-1;-1;1;
602,隔离霜;套装;洗面奶;小样;片状;质感;,便宜;大;大;不错;厚;薄;,1;-1;-1;1;1;-1;
603,内容;,重要;,1;
604,质量;性价比;,好;好;,1;1;
605,张;,不错;,1;
606,冷车;,完后;,1;
607,,,
608,,,
609,味道;感觉;,很大;均匀;,1;1;
610,,,
611,产品;,完好;,1;
612,,,
613,效果;,不错;,1;
614,男孩;頭;,短;小;,-1;-1;
615,朋友;,顽固;,-1;
616,蟑螂;卫生;,大;卫生;,-1;1;
617,泡沫;刀;,丰富;舒服;,1;1;
618,质量;标准;,好;便宜;,1;1;
619,颜色;,小;,-1;
620,,,
621,IIGNTLV3;,窄体;,1;
622,,,
623,书;,薄;,-1;
624,,,
625,卓越;纸;,好;大;,1;-1;
626,麻烦;耳机;,麻烦;好;,-1;1;
627,功能;味道;,明显;近;,1;1;
628,,,
629,感觉;,热;,1;
630,,,
631,痞性;高中毕业;基友;人生;,安全;好;自大;一般;,1;1;-1;0;
632,,,
633,,,
634,,,
635,,,
636,内容;,简单;,-1;
637,质量;纸质;,好;好;,1;1;
638,衣服;起码;,大;偏大;,-1;-1;
639,,,
640,数字;,少;,1;
641,,,
642,,,
643,感觉;画面;,差;模糊;,-1;-1;
644,,,
645,套用;,方便;,1;
646,,,
647,老婆;,不错;,1;
648,人;,根本;,1;
649,,,
650,发货;质量;,快;郁闷;,1;-1;
651,,,
652,,,
653,月份;断线;,频繁;少;,-1;1;
654,,,
655,商品;,粗糙;,-1;
656,,,
657,照;手机;,高;小;,1;-1;
658,,,
659,,,
660,味道;,一般;,0;
661,,,
662,朋友;颜色;豆;感觉;气味;有点;,不;不同;厚重;轻薄;清爽;假;,1;1;1;-1;1;-1;
663,胡桃木;,根本;,1;
664,爱屋及乌;马;,好;好;,1;1;
665,,,
666,克;,少;,1;
667,,,
668,,,
669,钱数;,一般;,0;
670,味道;,不错;,1;
671,新品;鞋;宠物;孩子;,少;小;仔细;好;,1;-1;1;1;
672,内容;,详细;,1;
673,,,
674,亚马逊;商品;,新;着急;,1;-1;
675,购物;产品;,快;好;,1;1;
676,,,
677,弹性;,差;,-1;
678,,,
679,,,
680,封印;,粗糙;,-1;
681,阳台;眼;,好;重要;,1;1;
682,橄榄油;,浓郁;,1;
683,瓶盖;,新;,1;
684,,,
685,,,
686,价格;,很大;,1;
687,吸水性;样子;,一般;不错;,0;1;
688,,,
689,效果;,好;,1;
690,东西;商品;布袋装;,不错;小;凉快;,1;-1;1;
691,,,
692,小巧;音量;,连续;小;,1;-1;
693,,,
694,想象;,好;,1;
695,实际;,小;,-1;
696,纸质;,差;,-1;
697,有点;时间;,硬;长;,-1;1;
698,,,
699,车身;时候;,单薄;容易;,-1;1;
700,,,
701,,,
702,内容;次印刷;,不错;严重;,1;-1;
703,,,
704,隔板;手;,薄;固定;,-1;1;
705,天才;,完全;,1;
706,肤色;,明亮;,1;
707,盒子;,直接;,1;
708,价格;商品;塑料;,不错;漂亮;轻;,1;1;-1;
709,,,
710,印刷;,模糊;,-1;
711,,,
712,包装盒;,根本;,1;
713,,,
714,总体;,长;,1;
715,女生;,大;,-1;
716,感觉;,好;,1;
717,,,
718,速度;,根本;,1;
719,能用;,不同;,1;
720,,,
721,,,
722,感觉;震动;,大;完全;,-1;1;
723,,,
724,换货;,方便;,1;
725,电;宝;,坏;重;,-1;-1;
726,产品;痕迹;气泡;,明显;明显;吃惊;,1;1;1;
727,,,
728,,,
729,试机;,遗憾;,-1;
730,效果;,明显;,1;
731,书;字;,脏;小;,-1;-1;
732,,,
733,,,
734,小心;清水;,厉害;好;,-1;1;
735,东西;,好;,1;
736,材料;价格;,轻;一般;,-1;0;
737,口红;唇部;,大;高;,-1;1;
738,宝宝;,柔软;,1;
739,味道;滋润;,不错;不错;,1;1;
740,网页;,不错;,1;
741,会员;蓝色;正品;差异;成;,正好;正规;清新;较淡;低;,1;1;1;1;-1;
742,感觉;,根本;,1;
743,爱美;酸奶;,好;不错;,1;1;
744,,,
745,,,
746,,,
747,孩子;检查;,认真;好;,1;1;
748,,,
749,玩意;,旧;,-1;
750,,,
751,,,
752,,,
753,,,
754,产品;老人;,大;舒服;,-1;1;
755,普通;不值;,硬;直接;,-1;1;
756,质感;颜色;,好;鲜艳;,1;1;
757,价格低;发货;店家;,好;快;快;,1;1;1;
758,鞋子;,轻便;,1;
759,,,
760,,,
761,珀莱雅;,浓;,1;
762,实际;材质;设计;,不错;硬;好;,1;-1;1;
763,,,
764,,,
765,保温;,不错;,1;
766,想象;,紧;,-1;
767,白灯;,舒服;,1;
768,亚马逊;,很好;,1;
769,,,
770,墨盒;,快;,1;
771,,,
772,号码;,合适;,1;
773,M;三叶草;,长;大;,1;-1;
774,,,
775,霜用;滋润;味道;,不错;不错;清淡;,1;1;-1;
776,设计;奶粉;大家;,小;根本;健;,-1;1;1;
777,味道;,好;,1;
778,,,
779,保质期;,好;,1;
780,感觉;,好;,1;
781,盖子;,持久;,1;
782,顶层;塑料;木头;时间;,重;单薄;大;久;,-1;-1;-1;0;
783,,,
784,价格;,便宜;,1;
785,,,
786,,,
787,有点;,小;,-1;
788,,,
789,刚刚开始;,不错;,1;
790,,,
791,,,
792,玻璃;,好;,1;
793,国美;时间;亚马逊;,好;根本;根本;,1;1;1;
794,人;标签;,困惑;直接;,-1;1;
795,单词;产品;,方便;方便;,1;1;
796,幼儿园;,好;,1;
797,,,
798,女朋友;,好;,1;
799,总体;,好;,1;
800,人;柜子;,正好;方便;,1;1;
801,外观;设置;信号;,漂亮;好;强;,1;1;-1;
802,评论;,昂贵;,-1;
803,棉被;,舒适;,1;
804,,,
805,质感;,一般;,0;
806,外形;油;国产;,粗糙;不适;好;,-1;-1;1;
807,人;图纸;,不错;很明;,1;1;
808,手感;,不错;,1;
809,,,
810,味道;,稀稀;,1;
811,易耗品;用;,耐用;很大;,1;1;
812,,,
813,质量;性价比;,一般;一般;,0;0;
814,东西;气味;,发霉;长;,-1;1;
815,产品;,清洁;,1;
816,,,
817,家;劲;,好大;好;,-1;1;
818,,,
819,小朋友;,好;,1;
820,指甲剪;,小;,-1;
821,,,
822,,,
823,牙刷;,很大;,1;
824,真货;,高;,1;
825,东西;,不错;,1;
826,防伪;,简陋;,-1;
827,书;,偏;,-1;
828,,,
829,商家;,硬;,-1;
830,kiss;中文;棉;,全;根本;贵;,1;1;-1;
831,鸡肋;中庸;护唇;,重;红;好;,-1;1;1;
832,衣服;纯棉;,难;快;,-1;1;
833,,,
834,价格;,不错;,1;
835,建议;,好;,1;
836,,,
837,回家;,贵;,-1;
838,,,
839,延时;,大;,-1;
840,,,
841,味道;用量;,厚重;全;,1;1;
842,,,
843,卖家;,好;,1;
844,,,
845,泡泡;,柔和;,1;
846,商品;,不通;,1;
847,,,
848,,,
849,故事;,不错;,1;
850,商品;信号;初学者;,小;一般;难;,-1;0;-1;
851,速度;,快;,1;
852,,,
853,玻璃;M;世界;,好;不愧;最多;,1;1;1;
854,带子;孔打;,长;少;,1;1;
855,东西;四本;,贵;小;,-1;-1;
856,回家;,完全;,1;
857,施华蔻;,不错;,1;
858,效果;,不错;,1;
859,,,
860,,,
861,,,
862,商品;实际;,一般;差;,0;-1;
863,商品;味道;,高矮;大;,1;-1;
864,牌子;公司;,贵;认真;,-1;1;
865,国产;价格;大妙;猫;,美妙;小;淡;好;,1;-1;-1;1;
866,说明书;,不错;,1;
867,不值;面积;,粗糙;早;,-1;1;
868,沐浴乳;,完整;,1;
869,,,
870,价格;,便宜;,1;
871,,,
872,客服;,火大;,-1;
873,,,
874,物流;,好;,1;
875,价钱;,高;,1;
876,内容;时间;,好;细;,1;-1;
877,,,
878,,,
879,记忆;设置;,重新;快;,1;1;
880,时候;,很痛;,-1;
881,,,
882,鱼;,便便;,1;
883,枕头;,大;,-1;
884,材质;,粗糙;,-1;
885,,,
886,东西;舒适度;,一般;差;,0;-1;
887,老公;,凉感;,1;
888,小窝;猫猫;爪;,很软;慵懒;好;,1;-1;1;
889,秒杀;家人;,好;快;,1;1;
890,电池;小时;,慢;充满;,-1;1;
891,,,
892,,,
893,质量;,不错;,1;
894,货品;,不;,1;
895,,,
896,乐扣;,浓重;,1;
897,,,
898,,,
899,数据线;原装;小时;,坏;慢;充好;,-1;-1;1;
900,画板;小朋友;,不错;高;,1;1;
901,,,
902,度数;,好;,1;
903,爱普生;照片;,不错;明显;,1;1;
904,帽子;,薄;,-1;
905,,,
906,亚马逊;b2b;,便宜;不错;,1;1;
907,活动;,便宜;,1;
908,书角;,太薄;,0;
909,,,
910,圖;後;膠層;,方便;貴;最好;,1;1;1;
911,好东东;垫子;,大;好;,-1;1;
912,,,
913,泰国;颈椎;,舒缓;舒服;,1;1;
914,cm;有点;,长;不错;,1;1;
915,,,
916,跑步;老会;,不;频繁;,1;-1;
917,重播;,轻;,-1;
918,声音;,很大;,1;
919,,,
920,颜色;,好;,1;
921,时候;,仔细;,1;
922,商品;,很大;,1;
923,abc;卫生巾;,怡丽;厚;,1;1;
924,,,
925,蓄电量;,不错;,1;
926,,,
927,作者;感觉;人;,着急;正式;强大;,-1;1;1;
928,,,
929,美白;,大;,-1;
930,刀;,好;,1;
931,,,
932,儿子;,不错;,1;
933,同事;眼睛;,难;长;,-1;1;
934,,,
935,,,
936,,,
937,东西;速度;,好;好;,1;1;
938,内裤;,一般;,0;
939,人;,久;,0;
940,托马斯;质量;,恐怖;好;,-1;1;
941,时;问题;换;,好;严重;完全;,1;-1;1;
942,文笔;,一般;,0;
943,洗衣机;,干净;,1;
944,,,
945,,,
946,纸张;书;,差;好;,-1;1;
947,枕芯;异味;原因;,不错;久;严重;,1;0;-1;
948,骗人;,很大;,1;
949,,,
950,面料;,合适;,1;
951,,,
952,,,
953,,,
954,包邮;感觉;伤风;,美白;热;好;,1;1;1;
955,王立军;,平均;,1;
956,价格;,便宜;,1;
957,,,
958,鞋子;鞋底;,合适;容易;,1;1;
959,商品;实惠;,不错;挺好;,1;1;
960,降价;,差;,-1;
961,时候;男士;女人;,明显;高硬;根本;,1;1;1;
962,眼镜;睫毛;阳光;,近;远;容易;,1;1;1;
963,,,
964,书;,好;,1;
965,型号;,小;,-1;
966,产品;清洁度;,不大;好;,1;1;
967,东西;,差;,-1;
968,,,
969,TP;质量;,大;便宜;,-1;1;
970,锅;手柄;锅盖;,好;方便;最;,1;1;1;
971,东西;加粗;,轻;超薄;,-1;1;
972,,,
973,正品;,便宜;,1;
974,产品;,恐怖;,-1;
975,牌子;,不错;,1;
976,,,
977,静音;儿子;,清楚;舒服;,1;1;
978,,,
979,厕所;,好;,1;
980,活动;,不错;,1;
981,质量;秒杀;余留;,不错;大;大;,1;-1;-1;
982,绿;,着急;,-1;
983,,,
984,美白;,差;,-1;
985,,,
986,玩具;轮子;,旧;很脏;,-1;-1;
987,儿童;,根本;,1;
988,正品;东西;,不错;好;,1;1;
989,小孩;,好;,1;
990,,,
991,大家;,不错;,1;
992,时间;,快;,1;
